Age at Issuance,Gender,Marital Status,Financial Dependents,Income (INR p.a.),Occupation,Major Life Events,Location,Policy Type,Time Since Issuance,Sum Assured (INR),Premium (INR p.a.),Payment Frequency,Payment Method,Missed Payments,Bank Balance (INR),Credit Score,Purchase Channel,Churn
63.4,Male,Married,2,215946,Employed,0,Rural,Term Life,7+ months,500000,4819,Monthly,Auto-Debit,0,46479,557,Agent Distribution,1
41.6,Male,Married,1,174551,Employed,2,Urban,Term Life,0-3 months,1000000,12535,Monthly,Auto-Debit,1,33255,776,Direct,0
49.5,Male,Unmarried,0,163267,Employed,1,Rural,Whole Life,7+ months,500000,5040,Quarterly,Manual Payment,3,83259,626,Direct,1
64.3,Male,Married,2,532438,Gig Work,2,Urban,Term Life,7+ months,1000000,16355,Quarterly,Manual Payment,0,45744,643,Agent Distribution,1
39.7,Female,Married,4,120000,Employed,2,Urban,Supplemental Health Insurance,7+ months,2000000,26316,Monthly,Auto-Debit,3,94715,864,Agent Distribution,1
40.6,Female,Unmarried,1,827485,Employed,1,Rural,Whole Life,7+ months,2000000,36305,Monthly,Auto-Debit,1,171135,623,Agent Distribution,0
19.8,Female,Married,3,479146,Employed,3,Urban,Whole Life,4-6 months,5000000,65765,Half Yearly,Manual Payment,2,218871,739,Agent Distribution,1
44.5,Female,Married,2,575850,Gig Work,1,Urban,Term Life,7+ months,2000000,17147,Quarterly,Auto-Debit,0,189431,724,Direct,1
59.5,Male,Married,4,194063,Gig Work,1,Rural,Supplemental Health Insurance,4-6 months,1000000,17766,Quarterly,Auto-Debit,0,77303,711,Embedded Apps,1
19.3,Female,Married,3,241600,Employed,2,Urban,Whole Life,7+ months,5000000,66791,Half Yearly,Auto-Debit,2,102710,702,Direct,1
43.1,Male,Married,2,120000,Gig Work,2,Rural,Term Life,0-3 months,2000000,16205,Annual,Auto-Debit,0,136803,710,Agent Distribution,1
34.2,Male,Married,2,185857,Employed,3,Rural,Term Life,7+ months,2000000,28705,Quarterly,Auto-Debit,0,24191,701,Embedded Apps,1
57.4,Female,Married,3,379101,Employed,1,Urban,Term Life,0-3 months,2000000,20731,Half Yearly,Auto-Debit,0,155821,675,Embedded Apps,0
50.8,Male,Married,2,664801,Employed,2,Urban,Supplemental Health Insurance,0-3 months,5000000,88330,Annual,Manual Payment,0,30765,800,Agent Distribution,0
27.0,Female,Unmarried,1,123622,Employed,0,Rural,Term Life,7+ months,2000000,23598,Annual,Auto-Debit,1,504981,574,Agent Distribution,0
60.5,Male,Unmarried,0,207761,Gig Work,4,Urban,Whole Life,7+ months,1000000,15896,Quarterly,Auto-Debit,1,71423,761,Agent Distribution,0
65.8,Female,Unmarried,3,241371,Gig Work,1,Urban,Term Life,7+ months,2000000,12866,Half Yearly,Auto-Debit,1,85144,745,Agent Distribution,1
56.5,Female,Unmarried,3,120000,Employed,2,Rural,Term Life,0-3 months,500000,5470,Monthly,Auto-Debit,0,53328,735,Agent Distribution,1
46.8,Female,Married,0,405933,Employed,0,Urban,Whole Life,0-3 months,1000000,19748,Quarterly,Auto-Debit,0,59636,769,Agent Distribution,0
59.8,Female,Unmarried,2,161652,Gig Work,1,Rural,Supplemental Health Insurance,7+ months,1000000,17126,Annual,Manual Payment,0,608818,672,Embedded Apps,1
43.1,Female,Married,2,234035,Retired,1,Urban,Whole Life,7+ months,500000,3699,Quarterly,Auto-Debit,0,209461,530,Direct,1
52.4,Male,Unmarried,0,195562,Employed,3,Urban,Supplemental Health Insurance,7+ months,500000,4583,Annual,Manual Payment,2,28585,674,Embedded Apps,1
42.7,Female,Unmarried,5,154424,Retired,2,Urban,Whole Life,7+ months,500000,4973,Quarterly,Auto-Debit,2,328854,600,Embedded Apps,1
41.8,Male,Unmarried,1,267017,Employed,3,Rural,Term Life,7+ months,2000000,29510,Annual,Manual Payment,0,256425,621,Agent Distribution,0
30.0,Female,Unmarried,0,230746,Employed,1,Rural,Term Life,4-6 months,5000000,81774,Quarterly,Auto-Debit,3,78828,580,Agent Distribution,0
24.4,Female,Married,2,206839,Gig Work,1,Rural,Whole Life,7+ months,10000000,162428,Monthly,Auto-Debit,0,126166,641,Agent Distribution,1
53.3,Female,Married,3,161147,Employed,0,Urban,Supplemental Health Insurance,7+ months,1000000,12648,Quarterly,Manual Payment,1,97542,632,Embedded Apps,0
62.5,Male,Married,0,335597,Employed,3,Urban,Supplemental Health Insurance,4-6 months,2000000,34324,Monthly,Auto-Debit,0,478333,489,Direct,0
37.8,Male,Unmarried,2,853868,Employed,1,Urban,Term Life,7+ months,5000000,57780,Monthly,Manual Payment,1,52206,736,Agent Distribution,0
18.6,Female,Married,2,295942,Gig Work,3,Urban,Term Life,7+ months,500000,3429,Annual,Auto-Debit,0,110947,857,Agent Distribution,1
25.6,Male,Unmarried,0,538898,Gig Work,3,Urban,Term Life,4-6 months,2000000,26933,Monthly,Manual Payment,0,70086,728,Embedded Apps,1
63.8,Male,Unmarried,1,120000,Employed,4,Rural,Supplemental Health Insurance,4-6 months,2000000,38569,Half Yearly,Manual Payment,0,31368,663,Embedded Apps,0
33.3,Male,Married,2,299668,Employed,2,Urban,Supplemental Health Insurance,0-3 months,500000,8447,Monthly,Manual Payment,0,569953,675,Agent Distribution,1
31.1,Female,Unmarried,1,124472,Employed,2,Rural,Whole Life,7+ months,5000000,68402,Monthly,Auto-Debit,0,38359,646,Direct,1
29.3,Female,Unmarried,4,120000,Employed,2,Urban,Term Life,0-3 months,5000000,73510,Annual,Auto-Debit,0,117724,687,Agent Distribution,1
40.4,Male,Unmarried,3,159921,Employed,0,Rural,Whole Life,0-3 months,500000,9479,Quarterly,Manual Payment,0,24524,677,Direct,1
32.7,Male,Unmarried,5,618053,Gig Work,2,Urban,Whole Life,7+ months,500000,5712,Half Yearly,Manual Payment,1,71735,612,Embedded Apps,1
45.2,Male,Married,1,521785,Employed,0,Urban,Term Life,7+ months,500000,4985,Half Yearly,Manual Payment,0,138354,814,Agent Distribution,1
51.8,Female,Unmarried,4,318094,Employed,1,Urban,Whole Life,7+ months,1000000,19658,Quarterly,Auto-Debit,1,51032,561,Embedded Apps,1
19.8,Female,Unmarried,2,120000,Employed,0,Urban,Term Life,7+ months,1000000,17951,Annual,Manual Payment,0,157856,737,Agent Distribution,0
49.7,Male,Married,1,233889,Employed,0,Urban,Term Life,7+ months,1000000,9845,Half Yearly,Auto-Debit,3,79599,671,Agent Distribution,0
40.1,Male,Married,0,331435,Retired,1,Urban,Supplemental Health Insurance,7+ months,1000000,11956,Quarterly,Auto-Debit,3,249712,832,Direct,0
39.6,Male,Unmarried,0,303420,Employed,1,Urban,Whole Life,7+ months,5000000,56130,Annual,Auto-Debit,0,293434,707,Agent Distribution,0
42.4,Female,Married,2,120000,Employed,2,Rural,Term Life,7+ months,1000000,7236,Monthly,Auto-Debit,1,61734,651,Direct,1
39.6,Female,Unmarried,2,143886,Employed,0,Rural,Whole Life,4-6 months,500000,9683,Quarterly,Manual Payment,0,104965,660,Agent Distribution,0
39.7,Male,Unmarried,1,256567,Employed,2,Rural,Term Life,7+ months,1000000,11064,Annual,Auto-Debit,3,114320,683,Direct,0
59.9,Male,Married,2,390586,Employed,0,Urban,Whole Life,4-6 months,1000000,18129,Half Yearly,Manual Payment,0,162020,588,Agent Distribution,1
24.0,Male,Married,1,120000,Employed,2,Urban,Whole Life,0-3 months,1000000,7840,Annual,Auto-Debit,0,99858,618,Agent Distribution,1
32.5,Trans,Unmarried,2,239548,Employed,2,Urban,Whole Life,4-6 months,1000000,13218,Half Yearly,Auto-Debit,0,114940,537,Agent Distribution,1
60.4,Male,Married,2,296598,Employed,2,Urban,Whole Life,0-3 months,500000,2679,Annual,Auto-Debit,0,81249,606,Direct,0
54.2,Female,Married,3,486371,Employed,2,Urban,Term Life,7+ months,5000000,82316,Annual,Auto-Debit,0,108249,687,Agent Distribution,0
50.5,Female,Married,3,435826,Employed,1,Urban,Term Life,7+ months,10000000,137137,Monthly,Auto-Debit,1,278828,704,Agent Distribution,0
25.8,Male,Married,2,403446,Retired,2,Urban,Whole Life,7+ months,1000000,14383,Monthly,Manual Payment,0,165523,521,Agent Distribution,0
61.0,Male,Unmarried,2,153283,Employed,1,Urban,Term Life,7+ months,1000000,5775,Quarterly,Manual Payment,0,172992,669,Direct,1
61.3,Male,Married,2,120000,Employed,1,Urban,Whole Life,7+ months,2000000,16331,Half Yearly,Auto-Debit,0,176038,725,Embedded Apps,0
22.6,Female,Unmarried,3,203793,Employed,2,Rural,Term Life,0-3 months,2000000,12229,Monthly,Auto-Debit,0,87286,666,Embedded Apps,0
56.2,Female,Married,1,540982,Employed,0,Rural,Term Life,7+ months,1000000,9333,Monthly,Auto-Debit,0,127396,629,Direct,1
21.3,Female,Married,1,711704,Gig Work,2,Rural,Term Life,7+ months,5000000,72057,Monthly,Manual Payment,2,41434,647,Agent Distribution,0
23.1,Female,Unmarried,0,441257,Employed,2,Rural,Supplemental Health Insurance,4-6 months,2000000,26985,Annual,Auto-Debit,0,272405,636,Agent Distribution,1
62.1,Male,Unmarried,2,362412,Gig Work,1,Urban,Term Life,7+ months,1000000,14182,Half Yearly,Auto-Debit,1,10653,629,Agent Distribution,0
49.1,Trans,Married,2,350020,Employed,0,Rural,Whole Life,0-3 months,2000000,26477,Quarterly,Auto-Debit,0,92067,693,Direct,1
47.8,Female,Married,3,181809,Employed,0,Rural,Term Life,0-3 months,10000000,90954,Monthly,Manual Payment,0,245908,864,Direct,1
64.4,Male,Married,1,244986,Gig Work,3,Urban,Term Life,0-3 months,2000000,17335,Quarterly,Auto-Debit,1,33153,620,Direct,1
52.6,Trans,Married,2,863154,Employed,2,Urban,Whole Life,4-6 months,500000,3527,Monthly,Auto-Debit,0,135920,654,Agent Distribution,0
57.3,Female,Unmarried,3,138719,Employed,0,Rural,Whole Life,7+ months,1000000,17736,Monthly,Manual Payment,0,57261,675,Embedded Apps,1
33.5,Female,Married,3,830966,Employed,1,Urban,Whole Life,7+ months,1000000,14247,Annual,Manual Payment,1,73493,625,Agent Distribution,0
30.3,Female,Married,2,214181,Gig Work,2,Rural,Supplemental Health Insurance,4-6 months,1000000,7797,Annual,Manual Payment,0,210397,767,Embedded Apps,1
60.0,Female,Married,2,678610,Employed,3,Urban,Term Life,7+ months,2000000,15316,Monthly,Auto-Debit,0,115664,490,Direct,0
47.0,Female,Unmarried,1,120000,Gig Work,0,Urban,Term Life,7+ months,5000000,90477,Monthly,Manual Payment,1,19390,637,Direct,1
36.8,Male,Unmarried,4,404389,Employed,1,Urban,Supplemental Health Insurance,0-3 months,2000000,32281,Monthly,Manual Payment,1,45200,745,Agent Distribution,0
34.3,Male,Married,0,160213,Gig Work,3,Urban,Term Life,0-3 months,10000000,148909,Quarterly,Manual Payment,0,215403,656,Direct,1
36.1,Female,Unmarried,4,120000,Employed,0,Rural,Whole Life,7+ months,1000000,11102,Monthly,Manual Payment,0,141372,614,Agent Distribution,0
45.8,Male,Married,2,312691,Gig Work,1,Rural,Whole Life,7+ months,5000000,44648,Monthly,Manual Payment,0,399715,715,Agent Distribution,1
43.0,Male,Married,2,543959,Employed,4,Urban,Term Life,7+ months,2000000,39383,Monthly,Auto-Debit,0,379313,752,Direct,0
54.9,Male,Unmarried,0,148529,Retired,2,Urban,Whole Life,4-6 months,1000000,16958,Half Yearly,Auto-Debit,1,75072,696,Agent Distribution,0
43.2,Male,Unmarried,2,120000,Employed,1,Rural,Term Life,7+ months,2000000,19053,Half Yearly,Manual Payment,2,731308,615,Agent Distribution,1
40.8,Female,Unmarried,2,251628,Employed,0,Urban,Term Life,0-3 months,500000,8856,Half Yearly,Auto-Debit,2,100668,716,Agent Distribution,0
26.8,Female,Married,1,252406,Employed,0,Urban,Term Life,4-6 months,2000000,32767,Quarterly,Auto-Debit,0,45700,647,Embedded Apps,0
29.0,Male,Married,2,393888,Employed,1,Urban,Supplemental Health Insurance,7+ months,1000000,9456,Annual,Auto-Debit,0,59461,739,Direct,0
18.9,Male,Unmarried,5,521631,Employed,3,Rural,Term Life,4-6 months,1000000,11398,Annual,Manual Payment,1,16230,798,Embedded Apps,0
18.2,Male,Married,2,257405,Retired,1,Rural,Whole Life,0-3 months,2000000,15578,Monthly,Auto-Debit,0,357044,471,Agent Distribution,1
64.6,Female,Married,3,983479,Retired,2,Urban,Supplemental Health Insurance,4-6 months,2000000,13331,Monthly,Manual Payment,1,353560,688,Embedded Apps,0
51.9,Female,Married,0,313942,Employed,3,Urban,Whole Life,0-3 months,1000000,15841,Quarterly,Manual Payment,1,43808,541,Direct,0
49.7,Male,Unmarried,2,210554,Retired,1,Rural,Whole Life,7+ months,500000,4506,Monthly,Auto-Debit,3,82264,875,Agent Distribution,1
65.4,Female,Married,0,120000,Employed,0,Rural,Whole Life,7+ months,1000000,17300,Quarterly,Auto-Debit,0,106562,642,Agent Distribution,1
42.2,Female,Married,2,223270,Employed,2,Urban,Term Life,0-3 months,2000000,39868,Quarterly,Auto-Debit,0,45785,739,Embedded Apps,1
57.6,Female,Unmarried,4,212039,Gig Work,3,Urban,Whole Life,0-3 months,5000000,30746,Quarterly,Auto-Debit,2,24243,677,Agent Distribution,0
62.5,Female,Married,2,525556,Gig Work,3,Rural,Whole Life,0-3 months,5000000,60477,Monthly,Auto-Debit,1,83425,615,Agent Distribution,1
18.5,Male,Married,0,370918,Retired,0,Urban,Supplemental Health Insurance,7+ months,1000000,17030,Quarterly,Auto-Debit,3,76354,606,Embedded Apps,0
33.1,Female,Married,2,120000,Employed,2,Urban,Supplemental Health Insurance,0-3 months,2000000,33668,Annual,Manual Payment,0,72350,806,Agent Distribution,0
56.2,Male,Married,2,302724,Gig Work,2,Urban,Supplemental Health Insurance,7+ months,1000000,16399,Monthly,Auto-Debit,1,117968,756,Direct,1
22.7,Female,Married,2,429368,Employed,3,Urban,Supplemental Health Insurance,0-3 months,2000000,20469,Half Yearly,Manual Payment,1,309779,835,Agent Distribution,0
39.4,Female,Married,3,782009,Employed,0,Rural,Whole Life,0-3 months,1000000,11807,Monthly,Auto-Debit,0,77460,684,Agent Distribution,0
46.2,Female,Unmarried,3,499445,Employed,2,Urban,Whole Life,7+ months,1000000,13924,Monthly,Manual Payment,0,113136,703,Agent Distribution,1
21.0,Female,Married,2,457070,Retired,3,Rural,Supplemental Health Insurance,7+ months,2000000,39218,Quarterly,Auto-Debit,1,176574,658,Agent Distribution,0
29.1,Male,Unmarried,2,279864,Gig Work,1,Urban,Term Life,0-3 months,500000,4956,Monthly,Manual Payment,0,153785,657,Embedded Apps,0
43.1,Female,Unmarried,1,352152,Gig Work,1,Urban,Supplemental Health Insurance,7+ months,2000000,37694,Monthly,Manual Payment,0,60382,596,Agent Distribution,0
33.8,Do not wish to disclose,Married,0,643484,Employed,0,Urban,Term Life,7+ months,5000000,45201,Monthly,Manual Payment,1,106628,686,Direct,0
54.7,Female,Unmarried,2,120000,Employed,1,Rural,Whole Life,7+ months,1000000,19836,Quarterly,Auto-Debit,0,152975,616,Direct,0
39.0,Male,Married,2,210111,Employed,1,Rural,Whole Life,7+ months,1000000,15053,Half Yearly,Manual Payment,2,40027,715,Embedded Apps,0
46.5,Male,Unmarried,2,156248,Employed,4,Urban,Supplemental Health Insurance,7+ months,5000000,59763,Monthly,Auto-Debit,0,271259,693,Agent Distribution,0
31.8,Male,Married,2,349901,Employed,1,Rural,Term Life,7+ months,2000000,28401,Half Yearly,Auto-Debit,0,310292,703,Embedded Apps,0
45.2,Female,Married,0,634857,Gig Work,1,Urban,Whole Life,0-3 months,1000000,9087,Monthly,Auto-Debit,5,55369,814,Agent Distribution,1
22.7,Female,Unmarried,2,176683,Employed,2,Rural,Whole Life,7+ months,1000000,9112,Half Yearly,Auto-Debit,3,115258,676,Agent Distribution,1
64.7,Male,Unmarried,1,120000,Employed,0,Urban,Term Life,7+ months,2000000,13406,Quarterly,Auto-Debit,0,165020,740,Agent Distribution,1
47.9,Female,Unmarried,1,201077,Employed,1,Rural,Whole Life,0-3 months,2000000,13421,Half Yearly,Manual Payment,2,63800,844,Direct,0
63.3,Female,Married,3,508607,Employed,2,Urban,Whole Life,0-3 months,500000,5107,Annual,Auto-Debit,0,145116,784,Agent Distribution,1
22.0,Female,Unmarried,0,390952,Employed,3,Urban,Whole Life,0-3 months,1000000,16442,Annual,Auto-Debit,0,112488,772,Agent Distribution,1
29.4,Female,Married,2,362119,Retired,2,Rural,Term Life,7+ months,5000000,70597,Monthly,Auto-Debit,0,30505,655,Agent Distribution,0
33.5,Female,Married,1,220577,Employed,2,Urban,Whole Life,7+ months,2000000,13077,Annual,Manual Payment,0,142533,698,Embedded Apps,1
43.9,Female,Married,3,120000,Gig Work,0,Urban,Whole Life,7+ months,10000000,177835,Monthly,Auto-Debit,2,40940,574,Embedded Apps,0
43.9,Male,Unmarried,2,384887,Employed,4,Urban,Term Life,0-3 months,2000000,28041,Annual,Auto-Debit,1,209266,719,Embedded Apps,0
65.6,Female,Married,1,149642,Employed,0,Rural,Term Life,7+ months,5000000,97064,Monthly,Manual Payment,5,57701,701,Embedded Apps,1
38.2,Female,Married,2,1237826,Employed,2,Rural,Supplemental Health Insurance,7+ months,1000000,15052,Quarterly,Auto-Debit,1,86766,681,Agent Distribution,0
56.6,Female,Unmarried,3,400054,Gig Work,1,Urban,Whole Life,4-6 months,2000000,15255,Monthly,Auto-Debit,0,295913,762,Agent Distribution,0
53.3,Female,Married,4,178714,Gig Work,4,Rural,Whole Life,7+ months,500000,6053,Monthly,Auto-Debit,1,146840,583,Embedded Apps,0
50.7,Female,Married,1,174910,Employed,2,Urban,Term Life,7+ months,2000000,29454,Half Yearly,Manual Payment,5,41623,810,Agent Distribution,1
47.0,Male,Married,3,251434,Employed,2,Urban,Term Life,7+ months,1000000,5423,Annual,Manual Payment,1,43829,752,Direct,0
54.4,Male,Unmarried,4,226919,Employed,1,Rural,Term Life,7+ months,1000000,5223,Half Yearly,Auto-Debit,1,61117,674,Agent Distribution,1
40.4,Male,Married,4,586415,Employed,1,Urban,Term Life,7+ months,5000000,34705,Half Yearly,Auto-Debit,3,135362,668,Direct,0
27.3,Male,Married,2,305740,Retired,2,Urban,Whole Life,4-6 months,5000000,43874,Half Yearly,Auto-Debit,0,131483,718,Agent Distribution,1
22.5,Female,Unmarried,2,160790,Employed,2,Urban,Whole Life,7+ months,500000,5721,Monthly,Manual Payment,1,50287,801,Agent Distribution,0
53.8,Do not wish to disclose,Unmarried,2,1007828,Employed,0,Rural,Whole Life,0-3 months,2000000,24623,Monthly,Manual Payment,2,38802,688,Direct,1
51.3,Male,Married,3,277760,Employed,4,Urban,Term Life,4-6 months,1000000,7070,Monthly,Auto-Debit,4,123656,691,Embedded Apps,1
48.4,Male,Unmarried,2,459634,Employed,3,Rural,Whole Life,0-3 months,1000000,15100,Quarterly,Auto-Debit,0,85349,681,Embedded Apps,1
27.8,Female,Unmarried,2,175297,Employed,1,Rural,Term Life,7+ months,5000000,69710,Monthly,Manual Payment,0,554472,822,Embedded Apps,0
36.5,Male,Unmarried,2,345995,Employed,3,Urban,Term Life,4-6 months,1000000,9416,Monthly,Manual Payment,1,101649,650,Agent Distribution,1
49.5,Female,Married,3,333626,Gig Work,2,Rural,Supplemental Health Insurance,0-3 months,5000000,26024,Monthly,Manual Payment,0,421427,677,Embedded Apps,0
19.0,Female,Unmarried,3,120000,Gig Work,1,Urban,Whole Life,0-3 months,500000,3082,Monthly,Manual Payment,1,38703,797,Embedded Apps,1
22.1,Female,Married,0,1099859,Employed,1,Urban,Whole Life,7+ months,2000000,21750,Annual,Manual Payment,0,28041,691,Agent Distribution,1
62.0,Male,Married,3,662284,Gig Work,2,Rural,Term Life,7+ months,2000000,14619,Monthly,Auto-Debit,0,40292,770,Embedded Apps,1
21.0,Male,Married,2,203203,Employed,2,Rural,Supplemental Health Insurance,7+ months,1000000,10652,Quarterly,Auto-Debit,0,255583,607,Direct,0
34.0,Female,Married,3,124046,Employed,1,Urban,Whole Life,7+ months,1000000,14422,Quarterly,Auto-Debit,0,402271,663,Embedded Apps,0
41.6,Female,Married,2,342248,Employed,2,Urban,Whole Life,7+ months,5000000,66042,Quarterly,Manual Payment,0,52799,798,Agent Distribution,0
33.4,Male,Unmarried,2,285126,Employed,2,Urban,Term Life,4-6 months,2000000,16935,Monthly,Auto-Debit,0,68291,625,Agent Distribution,1
19.0,Female,Married,4,344196,Employed,2,Urban,Supplemental Health Insurance,7+ months,1000000,10157,Monthly,Auto-Debit,0,38747,667,Direct,1
45.3,Male,Married,1,306846,Employed,0,Urban,Supplemental Health Insurance,0-3 months,1000000,14210,Monthly,Auto-Debit,0,23171,700,Agent Distribution,0
49.8,Female,Married,3,382455,Employed,3,Urban,Supplemental Health Insurance,4-6 months,500000,8956,Quarterly,Auto-Debit,0,175383,600,Agent Distribution,1
44.6,Male,Married,2,739044,Retired,1,Rural,Term Life,4-6 months,1000000,16298,Monthly,Manual Payment,0,117997,646,Embedded Apps,0
37.5,Female,Unmarried,2,399381,Employed,1,Urban,Term Life,7+ months,1000000,13301,Quarterly,Auto-Debit,1,99547,689,Embedded Apps,0
41.1,Male,Married,1,128700,Employed,1,Urban,Term Life,7+ months,500000,5217,Half Yearly,Auto-Debit,2,32207,683,Embedded Apps,0
29.7,Male,Married,2,696479,Employed,1,Rural,Term Life,7+ months,5000000,52378,Quarterly,Manual Payment,0,366577,782,Agent Distribution,1
52.7,Male,Married,1,846131,Employed,3,Rural,Supplemental Health Insurance,0-3 months,2000000,36382,Quarterly,Auto-Debit,0,65993,803,Embedded Apps,0
50.7,Male,Married,0,2437393,Employed,1,Urban,Term Life,7+ months,5000000,27943,Quarterly,Manual Payment,1,151282,611,Agent Distribution,1
50.4,Female,Married,1,122217,Gig Work,2,Urban,Term Life,0-3 months,2000000,39639,Annual,Manual Payment,0,30833,688,Embedded Apps,1
60.7,Do not wish to disclose,Unmarried,0,318067,Employed,0,Rural,Term Life,0-3 months,5000000,74828,Monthly,Manual Payment,4,84760,733,Direct,0
54.3,Male,Unmarried,5,120000,Employed,1,Urban,Term Life,0-3 months,2000000,30434,Half Yearly,Manual Payment,1,124629,801,Agent Distribution,1
29.6,Male,Married,4,395222,Employed,4,Urban,Term Life,7+ months,2000000,11139,Half Yearly,Auto-Debit,0,128240,737,Embedded Apps,0
20.1,Female,Unmarried,2,182820,Employed,2,Rural,Whole Life,4-6 months,10000000,140829,Quarterly,Auto-Debit,0,111716,703,Embedded Apps,0
18.8,Female,Unmarried,3,1031383,Employed,1,Urban,Whole Life,7+ months,2000000,24543,Monthly,Auto-Debit,0,146622,733,Agent Distribution,1
50.1,Female,Unmarried,1,156024,Employed,2,Urban,Term Life,7+ months,500000,3293,Quarterly,Auto-Debit,0,39957,733,Embedded Apps,1
57.9,Male,Married,2,120000,Employed,1,Urban,Term Life,7+ months,2000000,18337,Monthly,Auto-Debit,0,115600,605,Direct,0
27.7,Male,Married,3,192936,Employed,1,Urban,Term Life,7+ months,5000000,91773,Monthly,Auto-Debit,0,108120,695,Agent Distribution,0
60.6,Female,Married,4,120000,Employed,3,Urban,Term Life,4-6 months,2000000,26499,Monthly,Manual Payment,2,118816,796,Agent Distribution,1
61.5,Male,Unmarried,2,453962,Retired,2,Rural,Whole Life,4-6 months,2000000,22402,Monthly,Auto-Debit,0,104597,663,Direct,0
46.7,Female,Unmarried,3,120000,Employed,1,Urban,Whole Life,7+ months,2000000,12180,Quarterly,Auto-Debit,0,35647,690,Direct,1
30.6,Male,Married,1,273736,Gig Work,3,Urban,Whole Life,7+ months,10000000,157118,Annual,Auto-Debit,1,34398,660,Direct,1
29.7,Female,Married,5,120000,Gig Work,2,Urban,Whole Life,7+ months,500000,7771,Monthly,Auto-Debit,0,16790,494,Agent Distribution,0
48.7,Male,Unmarried,0,214441,Employed,1,Rural,Term Life,7+ months,2000000,28421,Annual,Manual Payment,0,189857,681,Direct,1
64.0,Female,Unmarried,2,847770,Employed,2,Urban,Supplemental Health Insurance,0-3 months,1000000,12653,Annual,Auto-Debit,0,191401,704,Agent Distribution,1
19.9,Female,Unmarried,2,345398,Employed,2,Urban,Supplemental Health Insurance,0-3 months,2000000,23013,Annual,Manual Payment,1,193850,639,Agent Distribution,1
52.2,Female,Unmarried,2,146613,Gig Work,2,Rural,Supplemental Health Insurance,7+ months,2000000,27798,Annual,Auto-Debit,4,126175,587,Agent Distribution,0
40.5,Male,Married,0,262539,Employed,1,Urban,Term Life,4-6 months,500000,4250,Quarterly,Auto-Debit,0,17916,609,Agent Distribution,1
34.0,Female,Unmarried,4,271742,Gig Work,2,Urban,Supplemental Health Insurance,0-3 months,1000000,19118,Monthly,Auto-Debit,0,43418,741,Agent Distribution,0
43.4,Female,Unmarried,1,373562,Retired,0,Urban,Supplemental Health Insurance,7+ months,2000000,27663,Quarterly,Manual Payment,0,113134,837,Agent Distribution,0
25.4,Female,Married,2,120000,Gig Work,3,Urban,Supplemental Health Insurance,0-3 months,500000,4833,Quarterly,Auto-Debit,0,110019,790,Agent Distribution,1
46.9,Female,Married,1,406279,Employed,2,Urban,Term Life,7+ months,1000000,11745,Annual,Auto-Debit,0,82603,572,Agent Distribution,0
43.4,Female,Unmarried,1,120000,Employed,0,Rural,Whole Life,7+ months,5000000,85426,Annual,Auto-Debit,2,132605,748,Embedded Apps,0
27.8,Female,Married,2,172660,Gig Work,2,Urban,Supplemental Health Insurance,7+ months,1000000,7424,Quarterly,Manual Payment,3,99640,626,Agent Distribution,1
43.4,Male,Unmarried,2,190652,Employed,4,Urban,Whole Life,0-3 months,1000000,9392,Monthly,Manual Payment,0,108729,633,Direct,0
51.5,Female,Unmarried,1,418038,Employed,4,Urban,Whole Life,0-3 months,5000000,75963,Monthly,Auto-Debit,0,59204,643,Agent Distribution,1
58.2,Female,Unmarried,1,272622,Gig Work,1,Urban,Supplemental Health Insurance,7+ months,1000000,9732,Monthly,Auto-Debit,1,216556,736,Agent Distribution,1
24.8,Male,Married,2,120000,Employed,0,Urban,Term Life,0-3 months,1000000,16887,Quarterly,Manual Payment,0,69939,756,Embedded Apps,1
21.9,Male,Married,3,134659,Retired,2,Rural,Whole Life,4-6 months,2000000,13913,Quarterly,Manual Payment,0,34046,672,Agent Distribution,0
62.4,Male,Unmarried,3,308376,Gig Work,0,Urban,Whole Life,4-6 months,2000000,32880,Annual,Manual Payment,0,53273,673,Agent Distribution,0
28.5,Female,Married,0,253889,Employed,4,Rural,Supplemental Health Insurance,0-3 months,5000000,30126,Quarterly,Manual Payment,0,74699,717,Direct,1
46.8,Female,Unmarried,2,178905,Retired,0,Urban,Term Life,0-3 months,5000000,25944,Annual,Manual Payment,0,218644,725,Agent Distribution,1
53.2,Female,Unmarried,0,191648,Employed,1,Urban,Whole Life,7+ months,2000000,36946,Half Yearly,Auto-Debit,2,95433,774,Agent Distribution,0
42.5,Female,Married,0,436837,Employed,1,Urban,Whole Life,0-3 months,1000000,13720,Annual,Manual Payment,1,85057,577,Embedded Apps,1
38.8,Male,Married,2,186766,Employed,1,Urban,Whole Life,0-3 months,500000,5138,Monthly,Manual Payment,0,36354,681,Embedded Apps,1
53.9,Male,Married,2,252290,Employed,3,Urban,Whole Life,7+ months,1000000,8488,Annual,Auto-Debit,0,185050,594,Agent Distribution,0
27.8,Male,Married,1,1225617,Employed,1,Urban,Supplemental Health Insurance,7+ months,500000,7126,Half Yearly,Auto-Debit,3,58596,675,Embedded Apps,1
54.9,Male,Unmarried,1,120000,Employed,0,Rural,Supplemental Health Insurance,4-6 months,2000000,25270,Monthly,Manual Payment,0,91124,661,Agent Distribution,1
26.0,Male,Unmarried,0,120000,Employed,1,Urban,Term Life,0-3 months,2000000,39747,Monthly,Auto-Debit,2,322592,676,Embedded Apps,1
